trade_id,timestamp,ticker,side,quantity,price,notional,trader
TRD-0017,2026-03-03T14:36:00,CVX,SELL,100,151.67,15167.0,j.kim
TRD-0058,2026-03-06T11:53:00,NVDA,SELL,500,116.67,58335.0,j.kim
TRD-0044,2026-03-07T10:45:00,GS,SELL,500,445.09,222545.0,a.chen
TRD-0047,2026-03-07T12:24:00,CVX,SELL,500,157.81,78905.0,a.chen
TRD-0052,2026-03-07T16:04:00,MSFT,BUY,1000,453.49,453490.0,a.chen
TRD-0057,2026-03-09T10:49:00,XOM,SELL,200,109.11,21822.0,s.rossi
TRD-0024,2026-03-10T16:48:00,KO,BUY,1000,65.54,65540.0,j.kim
TRD-0034,2026-03-11T13:41:00,XOM,BUY,500,109.51,54755.0,j.kim
TRD-0045,2026-03-11T16:57:00,GS,BUY,500,466.09,233045.0,m.patel
TRD-0046,2026-03-12T14:59:00,CVX,BUY,1000,150.19,150190.0,a.chen
TRD-0023,2026-03-14T12:11:00,JPM,BUY,500,193.06,96530.0,m.patel
TRD-0003,2026-03-14T16:14:00,XOM,BUY,200,112.13,22426.0,a.chen
TRD-0014,2026-03-18T14:07:00,JPM,SELL,500,185.14,92570.0,a.chen
TRD-0049,2026-03-18T16:44:00,NVDA,BUY,500,120.98,60490.0,m.patel
TRD-0038,2026-03-20T10:32:00,NVDA,BUY,500,125.66,62830.0,a.chen
TRD-0051,2026-03-20T13:15:00,JPM,SELL,100,184.0,18400.0,s.rossi
TRD-0010,2026-03-21T13:28:00,NVDA,BUY,100,131.34,13134.0,j.kim
TRD-0019,2026-03-22T10:27:00,XOM,SELL,500,112.91,56455.0,a.chen
TRD-0037,2026-03-24T16:12:00,GS,BUY,500,444.75,222375.0,m.patel
TRD-0013,2026-03-29T09:13:00,AAPL,SELL,100,198.79,19879.0,s.rossi
TRD-0048,2026-03-29T10:53:00,XOM,BUY,500,108.27,54135.0,s.rossi
TRD-0041,2026-03-31T16:14:00,KO,SELL,500,48.94,24470.0,m.patel
TRD-0031,2026-04-01T11:23:00,AAPL,SELL,1000,190.85,190850.0,s.rossi
TRD-0060,2026-04-07T12:56:00,AAPL,BUY,100,176.86,17686.0,a.chen
TRD-0006,2026-04-09T09:11:00,TLT,SELL,500,99.14,49570.0,m.patel
TRD-0033,2026-04-12T13:16:00,MSFT,BUY,1000,516.98,516980.0,m.patel
TRD-0021,2026-04-13T11:04:00,TLT,BUY,500,99.54,49770.0,a.chen
TRD-0039,2026-04-13T11:10:00,KO,BUY,1000,44.07,44070.0,m.patel
TRD-0002,2026-04-15T13:38:00,CVX,SELL,100,154.86,15486.0,s.rossi
TRD-0055,2026-04-16T15:55:00,PFE,BUY,100,27.0,2700.0,j.kim
TRD-0009,2026-04-17T10:56:00,NVDA,SELL,500,130.72,65360.0,a.chen
TRD-0001,2026-04-17T14:42:00,MSFT,BUY,100,539.98,53998.0,a.chen
TRD-0032,2026-04-19T09:50:00,GS,SELL,500,445.04,222520.0,s.rossi
TRD-0018,2026-04-21T10:25:00,WMT,SELL,500,55.34,27670.0,a.chen
TRD-0015,2026-04-25T15:34:00,JNJ,BUY,200,144.76,28952.0,m.patel
TRD-0020,2026-04-25T15:55:00,JPM,SELL,100,203.37,20337.0,s.rossi
TRD-0012,2026-04-25T16:33:00,XOM,BUY,500,104.57,52285.0,s.rossi
TRD-0026,2026-04-26T09:22:00,JNJ,SELL,500,142.82,71410.0,a.chen
TRD-0030,2026-04-27T10:32:00,AAPL,BUY,500,190.84,95420.0,m.patel
TRD-0027,2026-04-29T09:23:00,GS,SELL,100,442.66,44266.0,s.rossi
TRD-0050,2026-04-30T10:01:00,TLT,SELL,100,101.92,10192.0,s.rossi
TRD-0042,2026-04-30T16:29:00,GS,BUY,500,432.12,216060.0,s.rossi
TRD-0059,2026-05-01T10:45:00,TLT,BUY,200,100.36,20072.0,j.kim
TRD-0043,2026-05-04T12:51:00,CVX,SELL,200,165.91,33182.0,m.patel
TRD-0022,2026-05-05T14:46:00,PFE,BUY,500,30.57,15285.0,m.patel
TRD-0008,2026-05-07T15:29:00,MSFT,BUY,1000,557.16,557160.0,s.rossi
TRD-0005,2026-05-11T09:11:00,CVX,BUY,500,156.07,78035.0,s.rossi
TRD-0004,2026-05-11T13:36:00,XOM,SELL,100,113.39,11339.0,m.patel
TRD-0016,2026-05-11T15:55:00,PFE,SELL,100,30.56,3056.0,a.chen
TRD-0025,2026-05-12T11:28:00,KO,SELL,500,44.01,22005.0,a.chen
TRD-0029,2026-05-13T16:32:00,JNJ,BUY,500,114.69,57345.0,m.patel
TRD-0053,2026-05-16T11:18:00,JNJ,BUY,200,117.52,23504.0,j.kim
TRD-0035,2026-05-16T15:41:00,NVDA,BUY,500,148.04,74020.0,s.rossi
TRD-0011,2026-05-17T13:13:00,JNJ,SELL,1000,114.52,114520.0,a.chen
TRD-0054,2026-05-18T15:11:00,AAPL,SELL,200,202.64,40528.0,a.chen
TRD-0040,2026-05-19T09:26:00,TLT,BUY,1000,100.46,100460.0,s.rossi
TRD-0056,2026-05-21T13:47:00,AAPL,SELL,500,201.76,100880.0,a.chen
TRD-0028,2026-05-22T16:37:00,MSFT,BUY,1000,633.26,633260.0,a.chen
TRD-0007,2026-05-24T11:47:00,WMT,SELL,100,67.35,6735.0,a.chen
TRD-0036,2026-05-25T14:01:00,NVDA,BUY,1000,154.16,154160.0,s.rossi
